sample_id,source_dataset,original_path,destination_path,original_class,nivara_class,split,width,height,channels,file_size,sha256,duplicate_group,license_source,exclusion_reason
1,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash10.jpg,train\garbage_waste\garbage_waste_000001.jpg,trash,garbage_waste,train,512,384,3,11752,5f1ee42f525810222f5afc0afa6393f9184db463b2e2414df428f9321639a028,,License verification required — obtained from Kaggle; check original dataset license,
2,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal306.jpg,train\garbage_waste\garbage_waste_000002.jpg,metal,garbage_waste,train,512,384,3,15815,265b600061409e515719e77a2773a08c1147de53d7ade912324872aa219de9a6,,License verification required — obtained from Kaggle; check original dataset license,
3,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper343.jpg,train\garbage_waste\garbage_waste_000003.jpg,paper,garbage_waste,train,512,384,3,24562,6c716828b1c48d294ccdf484f4b8aaa197078efa5c918e60f05f760d4757b3af,,License verification required — obtained from Kaggle; check original dataset license,
4,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass376.jpg,train\garbage_waste\garbage_waste_000004.jpg,glass,garbage_waste,train,512,384,3,17518,a06f1177d1dfeb4acf16a2985456830e2b1cf036c131e92f586db207124bce0d,,License verification required — obtained from Kaggle; check original dataset license,
5,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass301.jpg,train\garbage_waste\garbage_waste_000005.jpg,glass,garbage_waste,train,512,384,3,22895,23cc05ab246bebe4da8836386df7c56da500ff7b6f4ede68d4d8e45182a3ed98,,License verification required — obtained from Kaggle; check original dataset license,
6,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic46.jpg,train\garbage_waste\garbage_waste_000006.jpg,plastic,garbage_waste,train,512,384,3,20618,f518118c026f30902fb073db820d2fc4a1c30a15624a0ef2d859b3ad670b942a,,License verification required — obtained from Kaggle; check original dataset license,
7,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard47.jpg,train\garbage_waste\garbage_waste_000007.jpg,cardboard,garbage_waste,train,512,384,3,20176,8ceb045c85ac2941ef70218acd1b0dc00024f84651973e0cc842cf992f03a49f,,License verification required — obtained from Kaggle; check original dataset license,
8,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper313.jpg,train\garbage_waste\garbage_waste_000008.jpg,paper,garbage_waste,train,512,384,3,23966,6b55d190dacf6e904875b30c31a8a55d8dc01713b4de1a5d7d4972649e669e2c,,License verification required — obtained from Kaggle; check original dataset license,
9,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass252.jpg,train\garbage_waste\garbage_waste_000009.jpg,glass,garbage_waste,train,512,384,3,10244,dc978f8a234c007df646ba11be2fb43c18b5b321734e9c4550b794d29de1bf5c,,License verification required — obtained from Kaggle; check original dataset license,
10,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic137.jpg,train\garbage_waste\garbage_waste_000010.jpg,plastic,garbage_waste,train,512,384,3,7680,de59966908bd7f79f6a902350212ff69e473b34f3c60ad4c4c97dbdc90fd2e9a,,License verification required — obtained from Kaggle; check original dataset license,
11,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper358.jpg,train\garbage_waste\garbage_waste_000011.jpg,paper,garbage_waste,train,512,384,3,37798,8da85fb451b03b9baceb31a430b1ded5309af208d50cd7e0aff57b6d49330896,,License verification required — obtained from Kaggle; check original dataset license,
