source,original_class,image_count,nivara_class,included_in_training,exclusion_reason
garbage_classification,cardboard,403,garbage_waste,YES,
garbage_classification,glass,501,garbage_waste,YES,
garbage_classification,metal,410,garbage_waste,YES,
garbage_classification,paper,594,garbage_waste,YES,
garbage_classification,plastic,482,garbage_waste,YES,
garbage_classification,trash,137,garbage_waste,YES,
damaged_construction,Damaged_building,100,wall_ceiling_damage,YES,
damaged_construction,Damaged_highway,819,parking_road_damage,YES,
damaged_construction,debris,513,broken_infrastructure,YES,
damaged_construction,Non-damaged_building,1859,EXCLUDED_NEGATIVE,NO,
damaged_construction,Non-damaged_highway,630,EXCLUDED_NEGATIVE,NO,
damaged_construction,damaged_buildings,448,wall_ceiling_damage,YES,
electrical_wiring,test01,30,UNKNOWN,YES,
electrical_wiring,train01,240,UNKNOWN,YES,
electrical_wiring,val01,30,UNKNOWN,YES,
